language,num_workers,real,user,system,cpu
js,5,9.57,1.16,0.22,14.52
js,10,4.71,1.10,0.19,27.62
js,15,3.35,1.05,0.19,37.12
js,20,2.83,0.98,0.19,41.29
js,25,2.69,0.86,0.18,38.69
js,30,2.50,0.93,0.20,45.47
js,35,1.85,0.80,0.11,49.40
js,40,1.85,0.73,0.17,48.65
js,45,1.95,0.87,0.16,53.20
js,50,1.91,0.77,0.15,48.05
js,55,1.22,0.55,0.11,55.31
js,60,1.16,0.52,0.10,53.83
js,65,1.17,0.48,0.11,50.79
js,70,1.47,0.50,0.12,42.06
js,75,1.44,0.53,0.12,46.23
js,80,1.38,0.51,0.11,45.57
js,85,1.18,0.51,0.14,55.21
js,90,1.45,0.52,0.13,45.00
js,95,2.56,0.51,0.13,25.21
js,100,1.21,0.51,0.12,51.72
python,5,5.68,2.06,0.11,38.34
python,10,3.37,1.55,0.07,48.34
python,15,2.84,1.35,0.05,49.79
python,20,2.04,1.04,0.09,55.85
python,25,1.85,1.08,0.09,63.50
python,30,1.68,1.10,0.07,69.78
python,35,1.87,1.10,0.08,63.67
python,40,2.70,1.27,0.15,52.79
python,45,1.73,1.16,0.09,72.98
python,50,2.10,1.37,0.13,71.56
python,55,2.00,1.20,0.13,67.05
python,60,1.97,1.28,0.10,70.60
python,65,2.19,1.48,0.07,71.11
python,70,1.72,1.20,0.09,75.62
python,75,2.18,1.49,0.12,74.18
python,80,2.90,1.38,0.10,51.03
python,85,2.44,1.63,0.13,72.11
python,90,1.96,1.47,0.13,81.85
python,95,2.13,1.58,0.10,79.07
python,100,1.90,1.42,0.10,80.21
php,5,2.88,0.33,0.05,13.76
php,10,1.69,0.29,0.10,23.83
php,15,1.30,0.38,0.09,37.40
php,20,1.04,0.36,0.08,42.70
php,25,1.09,0.34,0.10,40.77
php,30,1.08,0.39,0.10,45.40
php,35,0.97,0.39,0.07,48.40
php,40,1.02,0.42,0.08,49.11
php,45,1.23,0.42,0.10,43.32
php,50,1.10,0.45,0.11,50.97
php,55,1.04,0.48,0.09,55.87
php,60,1.20,0.56,0.09,54.66
php,65,1.21,0.52,0.14,54.72
php,70,1.22,0.58,0.10,56.19
php,75,1.32,0.59,0.15,56.26
php,80,1.54,0.61,0.12,47.90
php,85,1.30,0.70,0.10,62.00
php,90,1.41,0.64,0.18,58.42
php,95,1.40,0.68,0.19,62.35
php,100,1.33,0.67,0.17,63.52
go,5,3.25,0.22,0.11,10.29
go,10,1.80,0.47,0.14,34.14
go,15,1.36,0.39,0.15,40.56
go,20,1.29,0.47,0.18,50.55
go,25,1.15,0.32,0.12,38.90
go,30,1.10,0.52,0.15,60.45
go,35,1.09,0.52,0.16,62.74
go,40,1.09,0.55,0.18,68.45
go,45,1.07,0.55,0.18,69.35
go,50,2.55,0.51,0.14,25.85
go,55,1.15,0.35,0.17,45.63
go,60,1.00,0.50,0.13,63.56
go,65,1.06,0.29,0.12,39.67
go,70,1.23,0.38,0.13,42.34
go,75,1.04,0.31,0.11,40.62
go,80,1.24,0.53,0.14,54.33
go,85,1.07,0.42,0.12,50.76
go,90,1.15,0.51,0.09,52.49
go,95,1.17,0.32,0.14,39.95
go,100,1.19,0.60,0.16,64.52
