language,num_workers,real,user,system,cpu
js,5,100.77,9.31,1.59,10.82
js,10,51.54,8.79,1.59,20.15
js,15,33.51,9.88,1.68,34.52
js,20,29.25,8.55,1.61,34.76
js,25,24.90,7.78,1.42,36.97
js,30,19.66,7.26,1.36,43.87
js,35,45.42,8.74,1.46,22.46
js,40,150.59,7.70,1.50,6.11
js,45,19.99,5.24,0.89,30.72
js,50,20.50,7.90,1.47,45.74
js,55,9.87,2.61,0.38,30.37
js,60,7.45,2.54,0.46,40.44
js,65,5.21,2.11,0.39,48.17
js,70,5.19,2.37,0.44,54.36
js,75,6.45,2.32,0.44,42.92
js,80,4.58,2.14,0.41,55.81
js,85,4.91,2.27,0.46,55.75
js,90,9.27,2.42,0.40,30.51
js,95,4.44,2.14,0.46,58.67
js,100,4.76,2.13,0.44,54.17
python,5,54.37,17.90,0.61,34.05
python,10,28.22,11.37,0.41,41.78
python,15,18.74,8.36,0.33,46.45
python,20,16.13,7.53,0.29,48.52
python,25,13.63,7.04,0.24,53.45
python,30,11.12,6.61,0.29,62.07
python,35,12.04,7.19,0.26,61.97
python,40,9.06,6.65,0.30,76.75
python,45,15.00,6.91,0.34,48.37
python,50,10.91,7.47,0.30,71.26
python,55,9.92,7.58,0.34,79.86
python,60,11.56,7.86,0.34,70.98
python,65,67.28,8.56,0.34,13.23
python,70,10.32,9.11,0.40,92.14
python,75,12.71,10.39,0.44,85.24
python,80,15.54,11.15,0.56,75.38
python,85,12.04,9.37,0.40,81.23
python,90,11.67,9.39,0.56,85.31
python,95,12.02,9.75,0.40,84.45
python,100,12.91,10.53,0.53,85.72
php,5,24.42,2.14,0.48,10.75
php,10,13.13,2.13,0.55,20.50
php,15,9.27,1.81,0.49,24.90
php,20,7.65,1.80,0.51,30.31
php,25,5.65,1.62,0.44,36.44
php,30,6.26,1.39,0.39,28.51
php,35,4.61,1.36,0.48,40.21
php,40,4.63,1.50,0.42,41.51
php,45,6.31,1.45,0.36,28.88
php,50,4.97,1.53,0.47,40.46
php,55,4.73,1.43,0.45,39.93
php,60,3.99,1.54,0.50,51.33
php,65,6.37,1.71,0.42,33.49
php,70,4.80,1.52,0.48,41.84
php,75,5.22,1.56,0.47,39.03
php,80,7.27,1.50,0.47,27.30
php,85,5.13,1.53,0.44,38.65
php,90,5.07,1.69,0.47,42.83
php,95,7.13,1.54,0.50,28.79
php,100,5.78,1.77,0.53,39.88
go,5,30.50,1.46,0.95,7.91
go,10,14.27,1.79,1.04,19.93
go,15,15.12,2.56,1.03,23.78
go,20,7.24,1.80,0.85,36.64
go,25,9.08,1.84,0.82,29.36
go,30,6.60,3.21,1.10,65.33
go,35,5.35,1.49,0.59,39.00
go,40,7.85,2.65,0.90,45.29
go,45,4.08,1.64,0.75,58.67
go,50,4.98,2.63,1.07,74.26
go,55,5.94,1.92,0.82,46.28
go,60,4.90,1.48,0.77,46.03
go,65,4.31,1.62,0.78,55.86
go,70,5.11,1.95,0.78,53.70
go,75,10.97,3.87,1.01,44.54
go,80,5.05,2.11,0.89,59.54
go,85,7.13,3.84,1.05,68.67
go,90,5.88,1.88,0.68,43.76
go,95,6.71,2.24,0.90,46.92
go,100,11.17,3.85,1.11,44.41
