language,num_workers,real,user,system,cpu
js,5,135.37,35.58,5.87,30.62
js,10,51.23,31.61,5.67,72.77
js,15,35.10,29.70,5.53,100.40
js,20,30.71,29.52,4.78,111.70
js,25,29.73,28.89,4.86,113.54
js,30,28.59,28.36,4.42,114.63
js,35,27.78,27.74,4.32,115.45
js,40,29.69,29.05,4.85,114.21
js,45,28.18,28.09,4.29,114.88
js,50,29.28,28.88,4.76,114.89
js,55,28.53,27.87,4.47,113.36
js,60,25.73,25.43,4.05,114.57
js,65,23.81,23.50,3.86,114.92
js,70,22.59,22.47,3.59,115.38
js,75,19.90,19.92,2.83,114.33
js,80,18.87,19.00,2.94,116.29
js,85,17.40,16.54,2.35,108.60
js,90,15.61,16.15,2.15,117.28
js,95,14.89,15.29,2.30,118.13
js,100,11.77,11.60,1.81,113.96
python,5,110.64,95.77,3.63,89.84
python,10,99.38,95.67,3.20,99.49
python,15,99.84,96.07,3.68,99.91
python,20,104.57,100.80,3.51,99.75
python,25,116.37,112.60,4.02,100.21
python,30,127.85,123.78,4.55,100.37
python,35,135.04,130.77,4.84,100.43
python,40,136.39,132.00,4.94,100.40
python,45,133.89,129.54,4.92,100.42
python,50,133.26,128.53,4.91,100.14
python,55,135.09,130.78,4.74,100.32
python,60,137.72,133.35,4.94,100.42
python,65,263.77,256.52,7.98,100.27
python,70,301.48,293.27,8.47,100.08
python,75,306.58,298.43,9.00,100.27
python,80,306.38,298.21,8.62,100.15
python,85,304.83,296.15,9.18,100.16
python,90,308.65,300.30,8.88,100.17
python,95,320.42,312.29,8.92,100.24
python,100,324.85,316.03,9.10,100.08
php,5,65.42,12.77,2.73,23.69
php,10,42.88,28.48,4.38,76.62
php,15,32.43,26.61,3.56,93.05
php,20,29.97,26.57,3.18,99.25
php,25,20.30,17.17,3.14,100.07
php,30,10.33,8.18,2.10,99.52
php,35,10.18,8.11,1.83,97.63
php,40,10.31,8.05,1.53,92.97
php,45,9.41,7.75,1.42,97.48
php,50,9.47,7.96,1.30,97.72
php,55,9.68,8.21,1.39,99.19
php,60,29.65,26.39,2.89,98.77
php,65,30.57,26.69,4.00,100.41
php,70,29.95,26.32,3.32,99.00
php,75,30.53,27.00,3.41,99.64
php,80,29.91,26.11,3.65,99.50
php,85,30.50,26.92,3.52,99.83
php,90,39.09,35.11,4.29,100.78
php,95,19.73,17.43,2.29,99.95
php,100,10.06,8.52,1.41,98.74
go,5,43.72,4.96,2.38,16.80
go,10,17.49,4.54,2.25,38.86
go,15,12.28,4.48,2.09,53.59
go,20,8.44,4.38,2.05,76.25
go,25,7.45,4.41,1.90,84.81
go,30,6.28,4.84,1.74,104.81
go,35,11.37,14.39,3.49,157.17
go,40,45.18,60.70,8.75,153.72
go,45,38.88,61.95,8.73,181.80
go,50,40.71,65.10,9.70,183.76
go,55,39.73,63.54,9.10,182.83
go,60,17.62,25.65,5.98,179.52
go,65,7.10,10.52,2.81,187.85
go,70,9.17,10.80,2.68,147.03
go,75,7.46,11.01,2.79,184.97
go,80,7.58,11.55,2.71,188.20
go,85,23.13,36.88,6.06,185.61
go,90,44.01,73.14,8.93,186.52
go,95,330.24,72.27,9.34,24.71
go,100,7.95,12.00,3.04,189.17
