language,num_workers,real,user,system,cpu
js,5,103.49,37.16,6.32,42.02
js,10,47.59,32.88,5.34,80.32
js,15,36.27,31.22,5.26,100.58
js,20,34.81,30.84,5.37,104.02
js,25,30.50,29.35,4.92,112.34
js,30,30.72,30.29,4.96,114.76
js,35,42.40,41.45,6.68,113.50
js,40,137.78,120.33,17.93,100.35
js,45,39.34,30.11,4.84,88.87
js,50,99.73,56.70,9.68,66.56
js,55,125.25,111.79,18.64,104.14
js,60,55.47,41.31,5.58,84.53
js,65,22.93,20.61,3.08,103.31
js,70,33.04,30.12,4.35,104.32
js,75,85.01,78.37,11.68,105.94
js,80,74.76,74.51,11.15,114.58
js,85,61.12,58.86,7.70,108.90
js,90,20.93,14.28,2.37,79.62
js,95,16.61,15.54,2.67,109.63
js,100,54.38,52.78,7.77,111.36
python,5,267.51,241.60,6.65,92.80
python,10,253.72,246.66,5.36,99.33
python,15,209.86,204.27,4.80,99.62
python,20,182.94,178.38,4.45,99.94
python,25,253.20,246.69,6.79,100.11
python,30,292.53,285.29,7.92,100.23
python,35,298.33,291.37,7.90,100.31
python,40,299.25,292.33,8.43,100.50
python,45,298.85,290.10,8.24,99.82
python,50,296.83,289.29,7.94,100.13
python,55,304.60,296.82,8.35,100.19
python,60,306.15,298.56,8.00,100.13
python,65,304.27,297.41,8.29,100.47
python,70,308.62,300.87,8.68,100.30
python,75,322.76,314.54,9.02,100.24
python,80,319.90,312.03,8.78,100.28
python,85,325.42,316.96,8.71,100.08
python,90,335.57,327.20,9.18,100.24
python,95,319.29,311.60,9.01,100.41
python,100,326.48,318.09,8.80,100.12
php,5,64.63,16.56,3.24,30.63
php,10,30.79,15.20,3.09,59.45
php,15,15.25,9.89,2.53,81.48
php,20,11.62,9.04,2.25,97.18
php,25,11.30,8.84,2.12,97.01
php,30,10.52,8.53,1.63,96.59
php,35,10.81,8.86,1.59,96.80
php,40,26.43,23.41,2.76,99.05
php,45,30.54,27.30,3.40,100.50
php,50,36.69,32.77,3.74,99.53
php,55,30.26,26.97,3.23,99.84
php,60,31.14,28.17,3.49,101.69
php,65,31.18,27.73,3.78,101.06
php,70,29.87,26.62,3.17,99.72
php,75,15.17,13.31,1.96,100.76
php,80,10.27,8.40,1.57,97.11
php,85,9.86,8.39,1.43,99.56
php,90,10.08,8.44,1.41,97.79
php,95,10.01,8.64,1.33,99.63
php,100,10.88,9.34,1.51,99.72
go,5,42.18,6.12,2.95,21.52
go,10,22.86,9.08,3.69,55.91
go,15,30.44,40.21,6.65,153.98
go,20,33.60,50.88,7.35,173.31
go,25,41.09,54.93,7.32,151.49
go,30,37.81,58.46,7.97,175.69
go,35,33.54,52.45,7.24,177.96
go,40,6.05,7.42,2.23,159.61
go,45,5.80,7.00,2.28,159.98
go,50,6.51,9.66,2.45,185.98
go,55,6.74,9.47,2.58,178.74
go,60,7.12,10.24,2.89,184.52
go,65,10.85,16.35,3.85,186.24
go,70,39.67,64.46,8.06,182.81
go,75,48.37,67.54,8.37,156.93
go,80,40.57,66.85,8.27,185.15
go,85,55.60,68.13,8.87,138.50
go,90,41.74,67.12,8.09,180.16
