language,num_workers,real,user,system,cpu
js,5,227.17,3.88,0.68,2.01
js,10,6.17,3.84,0.58,71.80
js,15,217.20,3.78,0.65,2.04
js,20,4.43,3.58,0.69,96.35
js,25,4.36,3.59,0.64,96.96
js,30,4.33,3.63,0.63,98.62
js,35,214.23,3.59,0.67,1.99
js,40,4.35,3.64,0.60,97.49
js,45,4.48,3.66,0.61,95.29
js,50,5.04,3.54,0.66,83.39
js,55,4.39,3.59,0.64,96.35
js,60,3.77,3.19,0.54,98.90
js,65,3.60,2.99,0.55,98.28
js,70,3.53,2.91,0.51,97.08
js,75,132.44,2.86,0.43,2.49
js,80,3.79,2.70,0.48,84.06
js,85,3.11,2.59,0.46,98.17
js,90,3.03,2.41,0.51,96.18
js,95,3.41,2.25,0.33,75.96
js,100,3.32,2.24,0.38,79.32
python,5,15.99,12.50,0.48,81.21
python,10,13.17,12.45,0.43,97.86
python,15,13.37,12.84,0.40,99.05
python,20,13.98,13.48,0.44,99.64
python,25,15.35,14.79,0.52,99.76
python,30,15.44,14.58,0.55,98.06
python,35,16.15,15.46,0.56,99.16
python,40,16.71,15.92,0.59,98.88
python,45,17.24,16.59,0.60,99.71
python,50,17.84,17.14,0.61,99.49
python,55,17.74,16.95,0.72,99.62
python,60,18.39,17.70,0.63,99.64
python,65,18.22,17.54,0.63,99.79
python,70,18.06,17.24,0.70,99.40
python,75,61.96,18.28,0.66,30.58
python,80,18.20,17.50,0.61,99.53
python,85,18.65,17.79,0.62,98.74
python,90,18.48,17.75,0.66,99.68
python,95,19.77,18.77,0.70,98.47
python,100,19.32,18.53,0.64,99.24
php,5,4.29,0.95,0.31,29.39
php,10,2.64,1.03,0.30,50.60
php,15,1.92,1.02,0.33,70.48
php,20,1.72,1.03,0.34,80.21
php,25,1.55,1.04,0.34,89.96
php,30,1.59,1.02,0.30,83.38
php,35,1.61,0.99,0.30,79.90
php,40,1.61,1.03,0.29,81.82
php,45,1.87,1.11,0.25,73.17
php,50,1.54,1.09,0.24,86.32
php,55,1.39,1.12,0.23,97.79
php,60,2.40,1.10,0.30,58.48
php,65,2.21,1.19,0.29,67.08
php,70,1.75,1.20,0.30,86.12
php,75,1.59,1.26,0.28,97.17
php,80,1.75,1.33,0.26,91.29
php,85,1.79,1.35,0.27,90.50
php,90,1.83,1.38,0.29,91.50
php,95,2.08,1.44,0.29,83.37
php,100,2.03,1.45,0.32,87.57
go,5,6.47,0.49,0.23,11.29
go,10,2.36,0.53,0.18,30.30
go,15,1.75,0.49,0.19,39.30
go,20,1.59,0.43,0.27,43.92
go,25,1.25,0.41,0.27,55.39
go,30,0.86,0.42,0.22,74.69
go,35,1.18,0.40,0.24,55.06
go,40,0.91,0.46,0.20,72.33
go,45,0.87,0.42,0.23,76.04
go,50,0.84,0.45,0.20,77.10
go,55,1.38,0.45,0.20,47.16
go,60,0.85,0.45,0.21,77.84
go,65,0.94,0.44,0.23,71.97
go,70,0.89,0.46,0.23,77.73
go,75,1.89,1.20,0.31,79.96
go,80,0.79,0.49,0.20,88.57
go,85,1.21,0.47,0.23,58.59
go,90,1.81,0.52,0.21,40.38
go,95,0.79,0.48,0.24,91.07
go,100,0.91,0.50,0.23,80.52
