language,num_workers,real,user,system,cpu
js,5,9.59,4.05,0.65,49.05
js,10,5.45,3.73,0.70,81.32
js,15,132.29,3.73,0.63,3.30
js,20,4.48,3.73,0.65,97.81
js,25,4.37,3.65,0.62,97.56
js,30,4.29,3.60,0.62,98.38
js,35,216.17,3.56,0.66,1.95
js,40,4.30,3.63,0.59,98.22
js,45,4.26,3.61,0.58,98.53
js,50,4.55,3.57,0.60,91.54
js,55,4.00,3.40,0.56,98.93
js,60,3.84,3.22,0.53,97.76
js,65,3.59,3.01,0.53,98.64
js,70,3.51,2.99,0.47,98.88
js,75,3.58,2.77,0.51,91.63
js,80,3.39,2.79,0.50,97.00
js,85,3.20,2.62,0.41,94.73
js,90,2.85,2.35,0.44,98.36
js,95,2.77,2.33,0.42,99.16
js,100,2.50,2.09,0.39,99.26
python,5,16.20,12.28,0.47,78.78
python,10,13.34,12.57,0.41,97.39
python,15,13.33,12.81,0.39,99.07
python,20,13.99,13.44,0.47,99.43
python,25,14.57,13.88,0.62,99.58
python,30,15.41,14.76,0.58,99.55
python,35,16.32,15.74,0.52,99.66
python,40,16.63,15.94,0.64,99.73
python,45,16.86,16.21,0.60,99.74
python,50,17.57,16.84,0.64,99.55
python,55,17.76,17.12,0.59,99.70
python,60,18.07,17.42,0.60,99.76
python,65,18.45,17.70,0.71,99.79
python,70,18.56,17.79,0.69,99.61
python,75,19.18,18.31,0.77,99.45
python,80,17.80,16.98,0.77,99.76
python,85,18.57,17.78,0.64,99.24
python,90,18.62,17.79,0.66,99.13
python,95,18.29,17.51,0.73,99.74
python,100,18.83,18.16,0.62,99.78
php,5,5.64,1.07,0.21,22.72
php,10,3.20,1.03,0.34,43.05
php,15,2.74,1.10,0.27,49.90
php,20,2.42,1.06,0.29,56.09
php,25,1.45,0.98,0.35,91.29
php,30,1.38,1.04,0.26,94.60
php,35,1.44,1.04,0.26,91.32
php,40,1.41,1.09,0.23,94.20
php,45,1.45,1.07,0.26,92.02
php,50,1.60,1.03,0.34,85.63
php,55,2.20,1.17,0.25,64.76
php,60,1.48,1.14,0.26,95.44
php,65,1.52,1.17,0.29,96.28
php,70,2.05,1.27,0.24,74.24
php,75,2.54,1.23,0.31,60.96
php,80,1.64,1.31,0.27,96.86
php,85,2.05,1.37,0.27,80.13
php,90,1.74,1.38,0.30,96.53
php,95,2.14,1.38,0.34,80.76
php,100,2.49,1.42,0.34,70.78
go,5,5.99,0.56,0.18,12.53
go,10,3.28,0.49,0.23,22.21
go,15,1.93,0.46,0.23,35.98
go,20,1.98,0.39,0.30,35.10
go,25,1.27,0.49,0.20,54.76
go,30,1.09,0.46,0.21,62.16
go,35,0.89,0.45,0.18,72.33
go,40,0.94,0.45,0.17,67.26
go,45,0.79,0.39,0.25,82.17
go,50,0.84,0.47,0.17,77.80
go,55,0.71,0.40,0.24,92.09
go,60,0.78,0.44,0.21,84.77
go,65,0.94,0.48,0.19,71.32
go,70,0.75,0.39,0.27,88.73
go,75,0.94,0.45,0.23,72.40
go,80,0.82,0.49,0.20,85.08
go,85,0.95,0.46,0.22,72.12
go,90,0.93,0.49,0.22,77.38
go,95,0.95,0.52,0.19,76.07
go,100,1.04,0.52,0.21,70.71
