language,num_workers,real,user,system,cpu
js,5,7.89,3.49,0.49,50.49
js,10,4.77,3.50,0.45,82.98
js,15,4.13,3.40,0.57,96.37
js,20,4.06,3.43,0.46,95.88
js,25,3.98,3.32,0.60,98.77
js,30,4.02,3.35,0.57,97.57
js,35,4.09,3.34,0.55,95.14
js,40,5.04,4.08,0.61,93.04
js,45,4.07,3.54,0.46,98.63
js,50,3.88,3.30,0.50,97.92
js,55,4.28,3.29,0.43,87.00
js,60,3.65,3.01,0.34,91.85
js,65,3.57,2.87,0.36,90.61
js,70,3.19,2.76,0.37,98.00
js,75,3.06,2.57,0.35,95.68
js,80,3.02,2.42,0.37,92.59
js,85,2.73,2.34,0.33,97.97
js,90,2.78,2.31,0.33,95.39
js,95,2.55,2.14,0.27,94.85
js,100,2.66,1.96,0.21,81.93
python,5,12.14,7.64,0.56,67.54
python,10,10.17,8.03,0.68,85.63
python,15,9.48,8.66,0.60,97.67
python,20,9.64,8.83,0.70,98.88
python,25,10.00,9.20,0.73,99.31
python,30,10.41,9.49,0.86,99.42
python,35,10.69,9.87,0.76,99.44
python,40,11.70,10.32,0.91,96.01
python,45,11.64,10.70,0.85,99.27
python,50,12.06,11.08,0.94,99.65
python,55,12.42,11.47,0.90,99.71
python,60,12.97,11.88,1.05,99.74
python,65,13.43,12.42,0.96,99.72
python,70,13.68,12.60,1.04,99.72
python,75,14.43,13.23,1.12,99.46
python,80,14.85,13.73,1.07,99.71
python,85,15.21,13.90,1.27,99.74
python,90,15.78,14.51,1.22,99.71
python,95,16.08,14.68,1.31,99.47
python,100,16.81,15.42,1.33,99.70
php,5,5.25,0.97,0.23,22.90
php,10,2.88,1.02,0.22,43.47
php,15,1.84,1.02,0.23,67.96
php,20,1.62,0.95,0.29,76.95
php,25,5.51,0.98,0.26,22.62
php,30,1.91,1.07,0.25,69.67
php,35,1.40,0.97,0.22,85.05
php,40,1.37,0.97,0.22,86.94
php,45,5.54,0.95,0.27,22.09
php,50,1.40,1.04,0.21,88.87
php,55,1.63,1.03,0.23,77.35
php,60,1.37,1.03,0.27,95.40
php,65,1.49,1.07,0.25,88.93
php,70,1.62,1.14,0.23,85.04
php,75,1.43,1.14,0.26,98.10
php,80,1.57,1.17,0.28,92.62
php,85,1.82,1.25,0.25,82.66
php,90,1.62,1.30,0.24,95.31
php,95,2.24,1.36,0.20,70.09
php,100,1.69,1.32,0.31,96.64
go,5,8.58,0.43,0.17,7.14
go,10,3.75,0.45,0.13,15.73
go,15,1.88,0.37,0.18,29.87
go,20,1.32,0.41,0.14,41.97
go,25,1.69,0.40,0.17,34.30
go,30,1.06,0.40,0.16,53.52
go,35,0.99,0.38,0.16,56.01
go,40,1.69,0.37,0.20,34.70
go,45,0.74,0.41,0.13,73.99
go,50,0.80,0.35,0.18,67.43
go,55,0.90,0.36,0.19,61.54
go,60,1.18,0.38,0.16,46.49
go,65,0.74,0.39,0.16,75.06
go,70,1.70,1.37,0.25,95.82
go,75,0.63,0.38,0.18,89.40
go,80,0.84,0.40,0.18,69.01
go,85,1.72,0.42,0.16,34.16
go,90,1.39,0.80,0.20,72.68
go,95,0.80,0.42,0.18,75.79
go,100,0.98,0.43,0.17,62.92
