language,num_workers,duration
go,3,7.55
go,4,4.58
go,5,3.29
go,6,2.94
go,7,10.32
go,8,2.06
go,9,1.96
go,10,1.77
go,11,1.67
go,12,1.61
go,13,1.57
go,14,1.45
go,15,1.38
go,16,1.46
go,17,1.35
go,18,1.21
go,19,1.21
go,20,1.20
go,21,1.42
go,22,1.12
go,23,1.13
go,24,1.28
go,25,5.74
go,26,1.05
go,27,1.95
go,28,1.11
go,29,1.02
go,30,1.07
go,31,1.09
go,32,1.19
go,33,0.92
go,34,1.05
go,35,1.05
go,36,0.94
go,37,1.30
go,38,1.17
go,39,1.13
go,40,1.22
go,41,1.21
go,42,1.91
go,43,1.01
go,44,1.18
go,45,1.14
go,46,1.22
go,47,1.12
go,48,1.10
go,49,1.09
go,50,0.95
go,51,1.01
go,52,1.10
go,53,1.21
go,54,1.30
go,55,1.46
go,56,1.16
go,57,1.27
go,58,1.06
go,59,1.25
go,60,1.17
go,61,1.39
go,62,1.10
go,63,0.98
go,64,1.05
go,65,1.11
go,66,1.08
go,67,1.15
go,68,0.99
go,69,1.06
go,70,1.08
go,71,1.41
go,72,0.95
go,73,1.02
go,74,1.09
go,75,1.08
go,76,1.02
go,77,1.38
go,78,1.24
go,79,1.10
go,80,2.18
go,81,1.11
go,82,1.14
go,83,1.08
go,84,4.66
go,85,1.05
go,86,1.01
go,87,1.18
go,88,0.99
go,89,1.03
go,90,1.30
go,91,1.13
go,92,0.99
go,93,1.05
go,94,1.07
go,95,1.19
go,96,1.04
go,97,1.24
go,98,1.08
go,99,1.16
go,100,1.06
