meta: javascript, 1000 files, 12056k, ran on sagemaker notebook
lanugage,workers,elapsed
js,1,69.02
js,2,22.81
js,3,14.94
js,4,11.05
js,5,8.99
js,6,8.00
js,7,7.41
js,8,7.24
js,9,7.20
js,10,7.34
js,11,7.68
js,12,7.22
js,13,7.12
js,14,6.97
js,15,7.52
js,16,7.38
js,17,7.05
js,18,7.16
js,19,7.98
js,20,7.40
js,21,6.93
js,22,7.30
js,23,7.44
js,24,6.97
js,25,7.27
js,26,7.29
js,27,8.13
js,28,7.28
js,29,7.13
js,30,7.26
js,31,6.96
js,32,7.43
js,33,7.36
js,34,7.12
js,35,7.14
js,36,6.98
js,37,8.57
js,38,22.53
js,39,24.50
js,40,24.82
js,41,32.83
js,42,8.89
js,43,7.19
js,44,6.81
js,45,7.33
js,46,6.82
js,47,7.29
js,48,7.92
js,49,7.38
js,50,8.08
js,51,17.94
js,52,24.28
js,53,24.00
js,54,23.39
js,55,34.39
js,56,22.50
js,57,22.01
js,58,21.69
js,59,21.92
js,60,21.90
js,61,6.39
js,62,6.33
js,63,6.20
js,64,5.98
js,65,5.89
js,66,6.47
js,67,6.55
js,68,5.75
js,69,6.81
js,70,14.77
js,71,19.92
js,72,19.84
js,73,20.07
js,74,20.24
js,75,19.99
js,76,20.05
js,77,19.88
js,78,27.84
js,79,21.96
js,80,19.62
js,81,19.79
js,82,5.48
js,83,5.58
js,84,6.55
js,85,5.42
js,86,5.56
js,87,5.32
js,88,5.25
js,89,5.57
js,90,5.23
js,91,5.19
js,92,6.30
js,93,13.40
js,94,18.15
js,95,27.69
js,96,18.89
js,97,17.91
js,98,16.78
js,99,17.36
js,100,17.41
