language,workers,elapsed
php,5,2.88
php,6,2.79
php,7,2.08
php,8,2.09
php,9,1.90
php,10,1.70
php,11,1.59
php,12,1.58
php,13,1.45
php,14,1.43
php,15,2.75
php,16,1.30
php,17,1.28
php,18,2.23
php,19,1.17
php,20,1.69
php,21,1.24
php,22,1.19
php,23,1.22
php,24,1.11
php,25,1.65
php,26,1.32
php,27,1.96
php,28,1.41
php,29,1.12
php,30,1.55
php,31,1.11
php,32,1.06
php,33,1.19
php,34,1.10
php,35,1.03
php,36,4.01
php,37,1.16
php,38,1.24
php,39,1.09
php,40,1.16
php,41,1.05
php,42,1.10
php,43,1.21
php,44,1.16
php,45,1.10
php,46,1.23
php,47,1.21
php,48,1.27
php,49,1.15
php,50,1.38
php,51,1.26
php,52,1.37
php,53,1.35
php,54,1.19
php,55,1.24
php,56,1.24
php,57,1.17
php,58,1.35
php,59,1.13
php,60,1.21
php,61,1.29
php,62,1.27
php,63,1.35
php,64,1.39
php,65,1.31
php,66,1.35
php,67,1.41
php,68,1.44
php,69,1.24
php,70,1.30
php,71,1.48
php,72,1.76
php,73,1.40
php,74,2.87
php,75,1.34
php,76,1.58
php,77,1.37
php,78,1.37
php,79,1.36
php,80,2.80
php,81,1.47
php,82,1.56
php,83,3.10
php,84,1.48
php,85,1.71
php,86,1.46
php,87,1.61
php,88,1.54
php,89,1.52
php,90,1.50
php,91,1.47
php,92,1.48
php,93,1.57
php,94,1.51
php,95,1.51
php,96,1.61
php,97,1.63
php,98,1.68
php,99,1.61
php,100,1.53
